,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,DShareC vs CShareD
BE,47622.0,-0.08034188034188035,1.0,0.7326495726495726,0.4639316239316239,0.9658119658119658,0.10153846153846154,1.0,0.4639316239316239,-0.08034188034188035
EC,21790.0,0.48786324786324786,1.0,0.7278632478632479,0.9097435897435897,0.9692307692307692,0.6451282051282051,1.0,0.9097435897435897,0.48786324786324786
CO,29253.0,0.2841025641025641,1.0,0.7251282051282051,0.7326495726495726,0.9842735042735042,0.40717948717948715,1.0,0.7326495726495726,0.2841025641025641
PE,16959.0,0.5147059124534916,1.0,0.7216142692869549,0.9295726495726496,0.9811902078598455,0.6294017094017094,1.0,0.9295726495726496,0.5147059124534916
SG,31452.0,0.44041717176422107,1.0,0.7211489248841166,0.9179487179487179,0.9649512878250248,0.625982905982906,1.0,0.9179487179487179,0.44041717176422107
BD,27549.0,0.30803418803418803,1.0,0.7169230769230769,0.7907692307692308,0.9829059829059829,0.4358974358974359,1.0,0.7907692307692308,0.30803418803418803
KE,10605.0,0.6157264957264957,1.0,0.7148717948717949,0.9794871794871794,0.9917948717948718,0.6622222222222223,1.0,0.9794871794871794,0.6157264957264957
NC,279.0,0.7124286049380362,1.0,0.7124286049380362,1.0,0.9825545958543914,0.7984962406015037,1.0,1.0,0.7124286049380362
IM,19.0,0.7061878636037996,1.0,0.7061878636037996,1.0,0.9710083124552245,0.7714285714285715,1.0,1.0,0.7061878636037996
CZ,33292.0,0.2088888888888889,1.0,0.6977777777777778,0.7278632478632479,0.9644444444444444,0.3770940170940171,1.0,0.7278632478632479,0.2088888888888889
CL,26491.0,0.24170940170940172,1.0,0.6970940170940171,0.7682051282051282,0.9815384615384616,0.3811965811965812,1.0,0.7682051282051282,0.24170940170940172
GR,30668.0,0.174017094017094,1.0,0.6964102564102564,0.7305982905982906,0.987008547008547,0.28068376068376066,1.0,0.7305982905982906,0.174017094017094
PK,60981.0,-0.055726495726495726,1.0,0.6957264957264957,0.5801709401709402,0.9651282051282051,0.14735042735042736,1.0,0.5801709401709402,-0.055726495726495726
CW,229.0,0.6955591488721597,1.0,0.6955591488721597,1.0,0.9710728377111321,0.8017543859649123,1.0,1.0,0.6955591488721597
JE,35.0,0.692535387657479,1.0,0.692535387657479,1.0,0.9746794344808964,0.8166666666666667,1.0,1.0,0.692535387657479
CH,61912.0,0.04205128205128205,1.0,0.6888888888888889,0.6362393162393163,0.9582905982905983,0.27863247863247864,1.0,0.6362393162393163,0.04205128205128205
AR,25556.0,0.36683760683760686,1.0,0.6841025641025641,0.8639316239316239,0.9822222222222222,0.507008547008547,1.0,0.8639316239316239,0.36683760683760686
TN,14603.0,0.3422222222222222,1.0,0.6834188034188035,0.852991452991453,0.9863247863247864,0.4495726495726496,1.0,0.852991452991453,0.3422222222222222
GF,374.0,0.672586027103171,1.0,0.6822758257987251,0.9988706945228685,0.9906394195807722,0.7120271033314511,1.0,0.9988706945228685,0.672586027103171
GT,1727.0,0.6327946447805645,1.0,0.6766745654040343,0.9953846153846154,0.9953813573008149,0.68,1.0,0.9953846153846154,0.6327946447805645
TW,47226.0,0.15282051282051282,1.0,0.6745299145299145,0.7538461538461538,0.9466666666666667,0.4105982905982906,1.0,0.7538461538461538,0.15282051282051282
AT,35127.0,0.08034188034188035,1.0,0.6731623931623931,0.68,0.9712820512820513,0.27452991452991454,1.0,0.68,0.08034188034188035
DZ,14462.0,0.4488888888888889,1.0,0.6711111111111111,0.9282051282051282,0.9938461538461538,0.52,1.0,0.9282051282051282,0.4488888888888889
IL,28395.0,0.28136752136752136,1.0,0.6711111111111111,0.8461538461538461,0.9794871794871794,0.42085470085470084,1.0,0.8461538461538461,0.28136752136752136
GH,10076.0,0.61,1.0,0.6684615384615384,0.9823076923076923,0.9953846153846154,0.6630769230769231,1.0,0.9823076923076923,0.61
ZA,39948.0,0.18632478632478633,1.0,0.6663247863247863,0.749059829059829,0.9883760683760684,0.29162393162393163,1.0,0.749059829059829,0.18632478632478633
KN,627.0,0.6648527886549169,1.0,0.6648527886549169,1.0,0.9940613548913427,0.7134387351778656,1.0,1.0,0.6648527886549169
UZ,12671.0,0.4905982905982906,1.0,0.6642735042735043,0.945982905982906,0.987008547008547,0.5815384615384616,1.0,0.945982905982906,0.4905982905982906
ZM,2527.0,0.6629041406170567,1.0,0.6629041406170567,1.0,0.9919618203248011,0.7251282051282051,1.0,1.0,0.6629041406170567
ML,841.0,0.6542101915100776,1.0,0.6626864130726345,0.9992307692307693,0.995185468003846,0.6907692307692308,1.0,0.9992307692307693,0.6542101915100776
