,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
TW,43118.0,0.3549549937569312,1.0000000000000002,0.6535291253020212,0.8298171541061393,0.951611784920471,0.48271767482614775,0.9685055005562054,0.8298171541061391,0.35495499375693096,0.35495499375693096
DK,45102.0,0.21103932699500988,1.0000000000000004,0.6452308621747093,0.5498351668030407,0.9529919107726889,0.2561972424699815,0.9849621058951251,0.5498351668030405,0.21103932699501007,0.21103932699501
SX,82.0,0.6432088291437374,0.9999999999999998,0.6438503049030755,0.9999995535346138,0.9919451524788095,0.6827840422105793,0.9033995069151428,0.999999553534614,0.6432088291437372,0.6432088291437372
CI,1571.0,0.6220499346933966,0.9999999999999996,0.6318711216450621,0.9997587913645306,0.9597226355242165,0.6305328942870673,0.8739628913269595,0.9997587913645302,0.6220499346933963,0.6220499346933964
RE,720.0,0.6229322381814487,1.0,0.6248486099970778,0.9999914576804115,0.9653461513893198,0.7047328442643642,0.8887586272182277,0.9999914576804115,0.6229322381814487,0.6229322381814488
BS,100.0,0.6099161613128278,1.0,0.6104965486557117,0.9999993434375236,0.9746240494824697,0.5646706912629543,0.8953212662232266,0.9999993434375233,0.6099161613128278,0.6099161613128277
PL,65860.0,0.06949857926499792,1.0,0.6092596362982508,0.5141079792914409,0.9578692980483579,0.18522912705155647,0.9843128703445173,0.5141079792914407,0.06949857926499832,0.0694985792649983
SE,52931.0,0.2708660435294421,1.0000000000000002,0.6088377997552096,0.7489645316307566,0.9445645630451497,0.3850683235673233,0.9771475080034742,0.748964531630757,0.2708660435294419,0.2708660435294419
GD,549.0,0.5891984202735937,0.9999999999999998,0.6075804588399873,0.9995640200587546,0.9779261637553253,0.6117362385439372,0.8844557672244284,0.9995640200587549,0.5891984202735939,0.589198420273594
RU,114045.0,0.10908513534959659,0.9999999999999998,0.6067194437530842,0.7110429723052488,0.9263841704632424,0.4003244955665581,0.9726975490767005,0.7110429723052492,0.10908513534959624,0.10908513534959635
MC,273.0,0.5966825035110689,1.0000000000000002,0.5976632864849147,0.9999969130119083,0.9635266444022795,0.7085108608021042,0.9101464322438187,0.9999969130119086,0.5966825035110684,0.5966825035110687
BJ,1417.0,0.5711181238225428,1.0000000000000002,0.5901101192754887,0.9989849500433896,0.965392239114951,0.556839107811275,0.8692992420525397,0.99898495004339,0.5711181238225427,0.5711181238225425
GN,362.0,0.5806370050795276,1.0,0.5871171747519901,0.9998800071291968,0.9598558434010047,0.6125730579877764,0.939724217791031,0.9998800071291969,0.5806370050795274,0.5806370050795278
PT,39535.0,0.0653552910164256,1.0000000000000002,0.586884654888347,0.42242853929615154,0.9594272493430845,0.05900438632764763,0.9927488816484199,0.42242853929615115,0.065355291016426,0.0653552910164262
IE,22527.0,0.2547615868343928,1.0000000000000002,0.5763586002322175,0.7266073372961509,0.9440322415505169,0.2989377022482328,0.9676318834235355,0.7266073372961509,0.25476158683439304,0.2547615868343929
IR,66416.0,0.06569660386866383,1.0,0.5761472015270046,0.6243899871809065,0.9368968410837183,0.29321103934201387,0.9368800594548067,0.6243899871809063,0.06569660386866373,0.06569660386866373
BE,43990.0,0.17144234230308533,0.9999999999999998,0.5743137611712689,0.6209065076452053,0.9461519079457749,0.256849359000381,0.9649017193911402,0.6209065076452055,0.171442342303085,0.1714423423030849
MX,45962.0,0.12391561296549827,1.0,0.5719591822357584,0.6079535895551821,0.9602165769694226,0.22040305787595582,0.9742154186697157,0.6079535895551822,0.12391561296549818,0.12391561296549823
CH,62881.0,0.20090954820002244,0.9999999999999998,0.5643395849229191,0.7331226040003859,0.9286694357106166,0.3869733927067306,0.9730127846201178,0.7331226040003862,0.20090954820002244,0.2009095482000224
PA,2204.0,0.5334430932401747,0.9999999999999999,0.5512188206234232,0.9982994670813001,0.9529124869334386,0.6704201580398075,0.9481506655609915,0.9982994670813002,0.5334430932401746,0.5334430932401747
PR,2705.0,0.5220448466516919,1.0000000000000002,0.5494176972796064,0.9961327949890207,0.9436051971839432,0.5699292141402086,0.9720893608662443,0.996132794989021,0.5220448466516922,0.5220448466516922
VC,29.0,0.5455647392315347,1.0000000000000002,0.5457829405506579,0.999999963521173,0.9929943790531859,0.5011987689353871,0.964414007792689,0.999999963521173,0.5455647392315346,0.5455647392315346
MY,48403.0,0.16859024790912513,1.0000000000000004,0.5411884895178486,0.8060013503709347,0.9510759922222978,0.37404825892087623,0.964777143549918,0.8060013503709348,0.16859024790912466,0.16859024790912486
CO,21616.0,0.26256782970225007,0.9999999999999998,0.5376254682516003,0.8066256227377427,0.9565899522657516,0.3247180683659859,0.9915402078044852,0.8066256227377429,0.26256782970224973,0.26256782970224973
BF,1503.0,0.5233088318432344,1.0000000000000002,0.5375423668908392,0.9994259676930045,0.9595238185924361,0.5830611683215106,0.8520440753507655,0.9994259676930042,0.5233088318432343,0.5233088318432344
AO,407.0,0.532349853944293,0.9999999999999999,0.5339165524164475,0.9999956617660687,0.9683705808647608,0.6263537438074448,0.933951992178374,0.9999956617660686,0.5323498539442932,0.5323498539442932
