,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
ARMENIA,1131.0,0.6125083218268914,1.0000000000000002,0.6330808228583905,0.9994626841619931,0.9649464065017924,0.6488687773977239,0.897415103899236,0.9994626841619931,0.6125083218268914,0.6125083218268913
BELARUS,1108.0,0.8154590108388934,1.0,0.8201273198172163,0.9999539970846311,0.9714436319496277,0.8559039022519396,0.954299278668087,0.9999539970846311,0.8154590108388933,0.8154590108388932
SUDAN,1102.0,0.2779678473798034,0.9999999999999998,0.3192834992880088,0.9930747092015286,0.9489526947747955,0.4271194523078143,0.9530108113289072,0.9930747092015288,0.27796784737980335,0.27796784737980323
COSTA RICA,1000.0,0.7134031579985874,1.0000000000000004,0.7292654489751208,0.9987261535292069,0.971995854908893,0.7039595203317329,0.886578360866919,0.9987261535292071,0.7134031579985876,0.7134031579985874
YEMEN,993.0,0.23085495419904162,1.0,0.29000122256075117,0.9913303938870845,0.9635384628111098,0.334227120429144,0.8716568039406186,0.9913303938870844,0.2308549541990416,0.23085495419904173
BOSNIA & HERZEGOVINA,948.0,0.28805015650473703,0.9999999999999998,0.3322792688022628,0.9918112409283886,0.9457325312275588,0.3994896035352034,0.9541166331087549,0.9918112409283886,0.288050156504737,0.288050156504737
BAHRAIN,881.0,0.4102907334319637,1.0000000000000002,0.42757594245795794,0.9986576637010287,0.9558551707869819,0.5666773736657071,0.976159870276328,0.9986576637010289,0.41029073343196365,0.41029073343196354
MALAWI,867.0,0.45566683677784237,1.0000000000000002,0.46642581720422577,0.9993105914709847,0.9456209957727977,0.6123264331682244,0.7476110181601732,0.9993105914709846,0.4556668367778423,0.45566683677784237
RWANDA,749.0,0.4320399965176253,1.0000000000000002,0.46569341554191884,0.9962444386884097,0.9581283967156798,0.5548988380445111,0.9098130858652009,0.9962444386884097,0.4320399965176253,0.43203999651762537
ZAMBIA,742.0,0.3706607249348688,1.0,0.39411788633052125,0.9976087221200409,0.9488283998871212,0.519823040319922,0.8413049883042862,0.9976087221200408,0.37066072493486885,0.37066072493486896
MONGOLIA,737.0,0.8891398480824382,1.0,0.8984192107290332,0.9992624941897442,0.9573501524152331,0.8436198216109047,0.8718304234768391,0.9992624941897442,0.8891398480824382,0.8891398480824381
CONGO DEMOCRATIC REPUBLIC,723.0,0.4588285377569362,1.0,0.4686534264702989,0.9995149944194973,0.9595008465095259,0.5912319698681208,0.7963489579214759,0.9995149944194968,0.4588285377569361,0.4588285377569361
ZIMBABWE,719.0,0.5467301460091133,1.0,0.5507504727997724,0.9999785267817273,0.9621304558664587,0.6685119507978515,0.7920671082457499,0.9999785267817272,0.5467301460091132,0.5467301460091132
CUBA,696.0,0.3123608426259031,1.0,0.36364340075513496,0.995181450089495,0.9702364359998191,0.36542457128339567,0.9209755753152886,0.9951814500894952,0.31236084262590297,0.31236084262590313
MALTA,687.0,0.21935778573578169,1.0,0.2242998447477285,0.9999697789282455,0.9587918391410729,0.38403412174840734,0.786912595726097,0.9999697789282456,0.21935778573578169,0.21935778573578169
SENEGAL,679.0,0.4658287662119352,1.0000000000000002,0.4795155095447635,0.9992121576079771,0.9563950396564385,0.6160809635623415,0.906343263735772,0.9992121576079777,0.46582876621193525,0.46582876621193525
BURKINA FASO,651.0,0.45093040378380744,1.0,0.463064089021214,0.9993638830350421,0.9581451889659344,0.5800118647593719,0.8473736905404338,0.9993638830350419,0.4509304037838078,0.4509304037838077
PANAMA,638.0,0.8628820678046882,1.0,0.8711619763435319,0.9994812412607127,0.9613672062568807,0.8369960341467801,0.8389468979632744,0.9994812412607125,0.8628820678046879,0.8628820678046879
MACEDONIA,602.0,0.18508505191350302,0.9999999999999998,0.20780068994300302,0.9980938066497657,0.9623993189894268,0.25346733313752395,0.9605493183552183,0.9980938066497654,0.18508505191350302,0.18508505191350313
BOTSWANA,570.0,0.3461434121483158,0.9999999999999999,0.3565559597511458,0.9996880140727518,0.9706619855283604,0.45455509573351655,0.8759010297791129,0.9996880140727517,0.3461434121483159,0.34614341214831584
BENIN,562.0,0.4297197593081428,1.0,0.4732783169394495,0.9970377038174688,0.9769373416162841,0.4995499135245059,0.8937457061638383,0.9970377038174685,0.4297197593081431,0.4297197593081429
